ied,motion,ac_y
-14490294.0,197.69649674473112,-499007.969450427
-14485551.0,119.23032476655817,-502017.8897559227
-14480480.0,50.476567231366516,-504997.7108583635
-14475365.0,9.381970935258323,-507947.7337497799
-14471009.0,95.11011394875118,-510868.25641228206
-14463870.0,166.6238937277958,-513759.5738481592
-14458953.0,237.1914603089965,-516621.9781096776
-14453088.0,339.0681639739871,-519455.7583285808
-14446670.0,454.76718882578166,-522261.20074529503
-14441683.0,653.877302225929,-525038.5887378422
-14437068.0,601.1686900468965,-527788.2028504638
-14432231.0,541.1586314198969,-530510.3208219592
-14427470.0,509.8818293276406,-533205.2176137395
-14422146.0,470.3993943384637,-535873.1654376021
-14416802.0,439.8251851181651,-538514.4337832261
-14410098.0,429.47619677882426,-541129.2894453938
-14404631.0,397.1577754256889,-543717.9965509399
-14399421.0,371.5178327781043,-546280.8165854304
-14394768.0,338.48732728506843,-548818.0084195761
-14390760.0,293.74636422047274,-551329.8283353803
-14387464.0,211.40877417164324,-553816.5300520265
-14385023.0,117.11166570767455,-556278.3647515062
-14382323.0,19.09059413500586,-558715.5811039911
-14379765.0,55.556617784268155,-561128.4252929512
-14378718.0,106.3112378216963,-563517.1410400217
-14376781.0,140.79212622840532,-565881.9696296215
-14374298.0,168.61018537494738,-568223.1499333252
-14372517.0,186.8831363934562,-570540.918433992
-14370852.0,177.16035014381418,-572835.509249652
-14369143.0,148.76064272467238,-575107.1541571555
-14366588.0,128.19810833377437,-577356.082615584
-14366551.0,114.52479529642233,-579582.5217894282
-14364350.0,86.73367707359535,-581786.6965715339
-14364561.0,62.74191229012604,-583968.8296058186
-14362482.0,12.98783413663341,-586129.1413097604
-14361487.0,449.81210236728407,-588267.8498966628
-14361039.0,449.81210236728407,-590385.1713976961
-14360370.0,449.81210236728407,-592481.3196837192
-14359674.0,449.81210236728407,-594556.506486882
-14358997.0,449.81210236728407,-596610.9414220132
-14357847.0,449.81210236728407,-598644.8320077931
-14356693.0,16.468174228188445,-600658.3836877152
-14356330.0,13.177740243490234,-602651.799850838
-14355036.0,7.694452597715554,-604625.2818523296
-14353703.0,11.712438688203974,-606579.0290338063
-14352002.0,68.05077147215866,-608513.2387434682
-14348703.0,107.1823531749601,-610428.1063560335
-14346214.0,106.11052964321038,-612323.8252924731
-14343276.0,137.06428124908825,-614200.5870395483
-14341220.0,181.016453097129,-616058.5811691529
-14337509.0,183.10109755887993,-617897.9953574613
-14334182.0,129.78554086352642,-619719.0154038867
-14328909.0,78.86856824335086,-621521.8252498478
-14326267.0,53.45133579766457,-623306.6069973493
-14321472.0,45.954963184113694,-625073.5409273758
-14319504.0,43.605096213867,-626822.805518102
-14314941.0,37.14172171635164,-628554.577462921
-14313097.0,66.04271350162503,-630269.0316882918
-14309926.0,71.62950108228233,-631966.3413714089
-14307081.0,55.46990256510776,-633646.6779576947
-14304195.0,78.96761630308356,-635310.2111781178
-14301663.0,71.56649549678423,-636957.1090663366
-14297775.0,41.802438867700175,-638587.5379756733
-14296766.0,25.87555739355821,-640201.6625959165
-14294274.0,46.40638421195149,-641799.6459699573
-14292221.0,68.00905632334207,-643381.6495102578
-14289999.0,69.8264838804007,-644947.8330151552
-14288026.0,63.80575620766217,-646498.3546850036
-14284989.0,64.40535067478208,-648033.3711381536
-14283675.0,77.2950437991633,-649553.0374267721
-14281702.0,75.86740082077063,-651057.5070525043
-14279928.0,77.19155514772751,-652546.9319819793
-14278495.0,97.59846370733476,-654021.4626621595
-14278012.0,20.287075660324945,-655481.2480355379
-14275945.0,9.969898617617673,-656926.4355551825
-14274455.0,33.432231260508615,-658357.1711996307
-14272505.0,36.842213186546815,-659773.5994876344
-14270927.0,71.24453592121063,-661175.863492758
-14267950.0,119.9196903392658,-662564.1048578304
-14267201.0,138.26840382442447,-663938.4638092521
-14266054.0,133.2235618024563,-665299.0791711597
-14265068.0,117.30024889141396,-666646.088379448
-14263661.0,86.09348678967558,-667979.6274956536
-14262465.0,152.5517849184007,-669299.831220697
-14261603.0,151.02626706921683,-670606.8329084901
-14260728.0,149.51600439852473,-671900.7645794052
-14260115.0,148.02084435453958,-673181.7569336111
-14259425.0,146.5406359109943,-674449.939364275
-14258524.0,145.07522955188438,-675705.4399706322
-14258304.0,69.7762544224181,-676948.3855709259
-14257342.0,52.57817812723238,-678178.9017152166
-14256756.0,40.4272236654399,-679397.1126980644
-14256399.0,32.17518880202783,-680603.1415710838
-14255948.0,43.53859679194011,-681797.110155373
-14255380.0,54.483267196709676,-682979.1390538192
-14253889.0,53.444252220138196,-684149.347663281
-14253719.0,67.28487369999425,-685307.8541866482
-14254661.0,72.15978329567565,-686454.7756447817
-14254165.0,67.30426773203817,-687590.2278883338
-14253677.0,76.87794125543132,-688714.3256094505
-14252592.0,70.09832009358433,-689827.1823533559
-14252354.0,75.51987244791462,-690928.9105298223
-14251811.0,72.15149503402108,-692019.6214245241
-14251501.0,64.99452338042488,-693099.4252102788
-14251159.0,40.99489860545282,-694168.430958176
-14249664.0,94.98267467660003,-695226.7466485943
-14250109.0,100.97104523125972,-696274.4791821083
-14249942.0,86.45830491084462,-697311.7343902872
-14249760.0,67.47091779382754,-698338.6170463844
-14249942.0,64.8741901464316,-699355.2308759205
-14248949.0,43.3328754785241,-700361.6785671613
-14249057.0,31.3661822522306,-701358.0617814898
-14249622.0,29.652550602982274,-702344.4811636748
-14249317.0,34.060137563615626,-703321.0363520382
-14249321.0,21.40353140569414,-704287.8259885177
-14250788.0,21.18949609163724,-705244.9477286325
-14249538.0,20.977601130720814,-706192.4982513462
-14249611.0,20.7678251194136,-707130.5732688328
-14249578.0,20.560146868219363,-708059.2675361445
-14249698.0,20.354545399537074,-708978.674860783
-14249724.0,20.15099994554157,-709888.8881121752
-14249444.0,40.90393207990155,-710789.9992310534
-14250537.0,31.2952644573586,-711682.0992387428
-14250292.0,36.35265096462149,-712565.2782463554
-14250388.0,54.04246129789749,-713439.6254638918
-14249611.0,62.607535778863394,-714305.2292092529
-14249837.0,52.84050144310845,-715162.1769171603
-14250941.0,51.35567720122049,-716010.5551479887
-14251380.0,58.83480025158997,-716850.4495965089
-14251163.0,51.25303893606315,-717681.9451005438
-14251108.0,52.75208190096623,-718505.1256495384
